No.	TATANA	B. MELAYU / B. INDO	ENGLISH	KATA DASAR (TATANA)? - \r
2564	popilumba'	berpacu	to race (animals)	lumba'
2565	pangadil	pengadil, wasit	referee	
2566	lululumbumba'	olahragawan, atlit	athlete	lumba'
2567	adia, parais	hadiah	prize	
2568	tiim	regu	team	
2569	pamanang	johan, pemenang, juara	champion, winner	manang
2570	piala	piala	cup	
2571	torumpit	peluit	whistle	
2572	hiburan	hiburan	recreation	
2573	buul bakul	bola keranjang	basketball	
2574	angka'	mata, angka	score	
2575	mongangka'	membuat angka	to score	angka'
2576	Spiritu Kitua	Roh Kudus	Holy Spirit	
2577	Kinoringan	Allah	God	
2578	Tuan	Tuhan	Lord	
2579	rogon, iblis	Iblis	Devil, Evil Spirit	
2580	malaikat	malaikat	angel	
2581	naraka	neraka	hell	
2582	kakal, salajur	kekal	eternal	
2583	koposion salajur	hidup yang kekal	eternal life	posion
2584	ombiriwo	jiwa	soul	
2585	mamangun do pomogunan	menciptakan bumi	to create the world	bangun
2586	mosundu	mukjizat	miracle	
2587	momuji	memuji	to praise	puji
2588	sumamba	berbakti, beribadah	to worship	samba
2589	dusa', douso	dosa	sin	
2590	mangakun	mengaku	to confess	akun
2591	sumambayang, mokiinsian	berdoa	to pray	sambayang, sian
2592	mogumboyo'	percaya	to believe	umboyo'
2593	pogumbayaan	iman	faith	umboyo'
2594	Wowoyoon	Mahakuasa	Almighty	waya
2595	kitua	kudus, suci	holy	
2596	mogugumboyo'	orang beriman	faithful (person)	umboyo'
2597	sangti	orang kudus, orang suci	saint	
2598	Protestan	Protestan	Protestant	
2599	Kotolik, Katulik	Katolik	Catholic	
2600	garija'	gereja	church	
2601	kaajaran	khotbah	sermon	ajar
2602	mongajar	berkhotbah	to preach	ajar
2603	kasasian	kesaksian	testimony	sasi
2604	wara'	wahyu	revelation	
2605	ponginjil	penginjil	evangelist	injil
2606	paado, padri	pendita, gembala, paderi	pastor, priest	
2607	popopoabar do injil	pengabar injil, utusan injil	missionary	abar, injil
2608	surga'	syurga	heaven	
2609	Papa'	paus	pope	
2610	boros nu Tuhan	injil	gospel (lit: Word of God)	
2611	Buuk kitua, Kitab	Alkitab	Bible	
2612	salip	salib	cross	
2613	grasia	anugerah	grace	
2614	ayat	ayat	verse	
2615	baab	bab	chapter	
2616	salamat, mapasi	selamat	safe / saved	pasi
2617	Momomasi	Juru Selamat	Savior	pasi
2618	monobus	menebus	to redeem	tobus
2619	tumungag intad naatoi	bangkit	to rise from the dead	tungag
2620	kotungagan intad poimpatoi	kebangkitan	resurrection	tungag
2621	tumongob	bertobat	to repent	tongob
2622	marayou	kemuliaan	glory	rayou
2623	anakon lagi'	dilahirkan lagi	to be born again	anak
2624	Makan Tuhan	perjamuan suci	Lord's supper	
2625	do ombiriwo	rohani	spiritual	
2626	poimpomogunan	duniawi	worldly	pomogunan
2627	kopoiadan, porumpamaan, tansilan	perumpamaan	parable	iad
2628	guminawo do Kinoringan	kasih sayang Allah	to love God	ginawo
2629	barakat	berkat	blessing	
2630	Boros nu Kinoringan	Firman Allah	Word of God	
2631	kosianan	rahmat	mercy, pity	sian
2632	pambalasan	upah dosa	wages of sin	balas
2633	ukuman	hukuman	judgment	ukum
2634	Kinoringan, Tuan Allah	Allah	God	
2635	mosigit, monsigit	mesjid	mosque	
2636	imam	imam	priest	
2637	sumamba	bersembahyang	to worship	samba
2638	kosumbayangan	salat	five daily prayers	sumbayang
2639	haji	haji	pilgrim to Mecca	
2640	naik haji / mongoi aji	naik haji	to make the pilgrimage	aji
2641	umat	umat	congregation	
2642	sadaka	zakat	alms	
2643	fakir	fakir	ascetic	
2644	kapir	kafir	infidel / non-believer	
2645	puasa	berpuasa	to fast	
2646	mangaji	mengaji	to recite the Koran	
2647	Kuruan	Quran	Koran	
2648	baloi sawat	menara	minaret	
2649	limo ponusuban nu Silam	lima rukun Islam	five pillars of Islam	susub
2650	nabi	nabi	prophet	
2651	ikam sambayang	tikar sembahyang	prayer mat	
2652	kinoringan	dewa	god, deity	
2653	ombiriwo, koduduo	roh	spirit	
2654	mosundu	seher / sihir	magic, supernatural	sundu
2655	rogon	hantu, suangi	ghost, malevolent spirit	
2656	koduduo nu komotutuaan	arwah nenek moyang	spirit of ancestors	tuo
2657	mamara' nasip	meramal	to tell a fortune	wara'
2658	nasip	nasib	fate	
2659	mamara nujum	bernubuat, menujumkan	to prophesy	wara
2660	giin	jin	demon, djinn	
2661	saitan	syaitan, setan	satan, devil	
2662	puntianak, tutuk andu'	pontianak, kuntianak	female vampire ghost	
2663	do sampaping	alam baka	the hereafter, underworld	
2664	nosuang, sinuang	kerasukan, kesurupan	possessed by a spirit	suang
2665	naga	naga	dragon	
2666	ombiriwo nu naatoi	roh orang mati	spirit of dead person	
2667	sumamba	memuja	to worship (spirits)	samba
2668	monyumpah	kutuk	curse	
2669	monanung	mempesonakan	to bewitch	
2670	monaru	mengutuk	to curse	taru
2671	pogingaan	tabu, larangan	taboo	inga
2672	kamayan	dupa, kemenyan	incense	
2673	moguub do kamayan	membakar dupa	to burn incense	uub
2674	popotaak	mengorbankan	to sacrifice	taak
2675	mamanawar	dukun	shaman, healer	tawar
2676	monompakai do rogon	tukang sihir	sorcerer	pakai
2677	pugai	guna-guna	love charm / spell	
2678	gimat	azimat	talisman, amulet	
2679	ponyinyilap	mantera	magic formula / incantation	silap
2680	inanak-anak	patung	statue, wooden doll	anak
2681	baloi topikung	kuil	temple	
2682	topikung	berhala	idol	
2683	kuasa' mosundu	kuasa / daya ghaib	magical powers	
2684	sakti	sakti	sacred / mystical power	
2685	maraat	jahat	evil	raat
2686	popoidu' do rogon	mengusir setan	to exorcise	
2687	binsana	bencana	disaster	
2688	balagu', lumagu'	menyanyi	to sing	lagu'
2689	lagu'	nyanyian	song	
2690	lagu' do pombubua	ninabobok	lullaby	
2691	pamainan	music	music	main
2692	molulan	merdu	melodious	lulan
2693	lulumagu'	penyanyi	singer	lagu'
2694	momogandang	memukul (gong/gendang)	to beat (drum/gong)	gandang
2695	pakakas do balagu'	alat muzik	musical instrument	
2696	soruling	bangsi, suling	flute	
2697	soruling	salung	short flute	
2698	gandang monini'	tifa	small drum	
2699	gandang	genderang	big drum	
2700	manyampui	meniup	to blow (flute)	sampui
2701	gambus basampui' bungkau	kecapi mulut	jew's harp	
2702	torumpit	peluit	whistle	
2703	libag	lagu	tune, song	
2704	bamain	memainkan	to play (instrument)	main
2705	dolou	suara	voice	
2706	tinimungan nu lulumagu'	pasukan penyanyi, choir	choir	timung, lagu'
2707	tinimungan nu ulun mapapandai bamain	orkes	orchestra	timung
2708	sayau	tarian	dance	
2709	sumayau	menari	to dance	sayau
2710	susumayau	penari	dancer	sayau
2711	laang sayau	langkah tarian	dance step	laang
2712	sayau migapus	dansa	western-style / ballroom dance	
2713	bubua'	irama	rhythm	
2714	mangampas	mengiringi	to accompany (music/dance)	ampas
2715	wayang	drama, sandiwara	drama / theatre	
2716	pomain wayang	pemain, pelaku	actor, actress	main
2717	babamain do wayang	para pelaku	cast	main
2718	mamalukis	menggambar, melukis	to draw, paint	lukis
2719	karatas	kertas	paper (drawing paper)	lukis
2720	lukisan	lukisan, gambar	picture (drawing/painting)	lukis
2721	lukisan do ulun	lukisan orang	portrait	lukis
2722	saat	cat	paint	
2723	saat sawir / timug	cat air	water color	
2724	saat umau	cat minyak	oil paint	umau
2725	tukang molukis	seni, kesenian	art	
2726	mapapandai lumukis	seniman	artist (general)	pandai, lukis
2727	polukis	pelukis	artist (drawing and painting)	
2728	dawat	dakwat	ink	
2729	mamalan	mencoret	to sketch	palan
2730	gambar	gambar	photograph	
2731	momogambar	bergambar	to take a photograph	gambar
2732	kuda-kuda	kuda-kuda	easel	
2733	muta'	kanvas	canvas	
2734	barus saat	kuas	paintbrush	
2735	papan saat	papan cat	palette	
2736	popotalang	mengambil sikap	to pose	talang
2737	warana'	warna	color	
2738	momali	membeli	to buy	bali
2739	badagang, popadagang	menjual	to sell	dagang
2740	manang sanganu	memiliki	to possess, own	
2741	mogolon, popiolon	bertukar	to trade, exchange	olon
2742	usin, duit, wang	wang	money	
2743	pasar	pasar	market	
2744	mambayar	membayar	to pay	bayar
2745	monunsung	wang kembali, wang kecil	small change	sunsung
2746	morogo	mahal	expensive	rogo
2747	mura	murah	cheap	
2748	manawar	menawar	to bargain	tawar
2749	putungan, pongurang	pengurangan, potongan	discount	putung, kurang
2750	rogo	harga	price	
2751	poponaik do rogo	menaikkan harga	to raise the price	naik
2752	popotuun do rogo	menurunkan harga	to lower the price	tuun
2753	rogo pointatap, harga mati	harga mati	fixed price	tatap
2754	adil	adil	fair, just	
2755	monipu, mompoduung	menipu	to cheat	tipu, duung
2756	wang tunai	tunai, kontan	cash	
2757	monunsung	mengembalikan baki wang	to change (money)	sunsung
2758	sunsung	wang baki	change (noun)	sunsung
2759	momoduung	menipu	cheating	duung, buyuk
2760	mombuyuk	memperdaya	to cheat	
2761	unut	wang kertas	paper money	
2762	usin tambaga', usin pisa	wang logam	coin	
2763	kumpani	perusahaan	company	
2764	saudagar, poniaga'	pedagang	trader, merchant	
2765	barang padagangon	barang dagangan	goods for sale	dagang
2766	ejen	ejen	agent	
2767	pajak	cukai, pajak	tax	
2768	jaminan	jaminan	guarantee	jamin
2769	nolaku ngoi'	habis terjual	sold out	laku
2770	dagangon	terbeli / untuk dijual	for sale	dagang
2771	kountungan, untung	laba, untung	profit	untung
2772	korugian	rugi	loss	rugi'
2773	utang	hutang	debt	utang
2774	mogutang	berhutang	to owe	utang
2775	nabayaran	lunas	paid / settled	bayar
2776	beng	bank	bank	
2777	mogolos	meminjam	to borrow	olos
2778	inalasan	pinjaman	loan	olos
2779	manaak	memberi	to give	taak
2780	mopoolos	beri pinjam	to lend	olos
2781	magalap	mengambil	to take	alap
2782	makaya	kaya	rich	kaya
2783	makaya banar	kaya-raya	very rich	kaya
2784	misikin	miskin	poor	
2785	talampau misikin	melarat, miskin papa	destitute	
2786	nokurangan	kekurangan	to lack	kurang
2787	utang	hutang	debt	
2788	mantagi	menagih	to demand payment	tagi
2789	mambayar do utang	membayar hutang	to repay a debt	bayar
2790	nabayaran	lunas	paid	bayar
2791	danda'	denda	fine	
2792	mogolos	meminjam	to borrow	olos
2793	mokoanu	mampu	to afford	anu
2794	kakayaan	harta benda	riches / wealth	kaya
2795	makaya	berada / berkecukupan	well-to-do	kaya
2796	pompurutan do usin	yuran, kutipan	dues, collection	purut
2797	sangsara', najara'	sengsara	suffering	san(g)sara', jara'
2798	rata'	milik	property (general)	
2799	waris / rata' do tana	tanah milik	property (land)	
2800	mokisadaka	mengemis	to beg	sadaka
2801	mokisasadaka	pengemis	beggar	sadaka
2802	mamakai	memakai	to wear	pakai
2803	manampakayan	berpakaian	to dress	pakai
2804	mongidu' do pakayan	membuka pakaian	to undress	idu'
2805	sosolinon	pakaian	clothing	salin
2806	kamija	kemeja	shirt	
2807	sira' gata	baju kaus	T-shirt	
2808	saluar	celana	trousers	
2809	santut	cawat	loincloth	
2810	kain sarung	sarung	sarong	
2811	kuun	sket	skirt	
2812	larut	tali pinggang, ikat pinggang	belt	
2813	salipar	sandal	sandals	
2814	kasut	kasut	shoes	
2815	sirung	topi	hat	
2816	konoon	kain	cloth	
2817	kumut	selimut	blanket	
2818	bidang	kain cadar, seperai	sheet	
2819	toiron	kelambu	mosquito net	
2820	amas-amasan	barang perhiasan	jewelry	
2821	sapit, titimbok	penjepit rambut	hairpin, hair clip	
2822	simbong	anting-anting	earring	
2823	susulung	cincin	ring	
2824	bantuk	gelang	bracelet	
2825	ganggalung	kalung, rantai leher	necklace	
2826	sigar	ikat kepala, destar	headband	
2827	pakaian sakot	pakaian rumput	grass skirt	
2828	sosolinon intad do kulit tataun	pakaian dari kulit kayu	bark clothes	
2829	sulindang	selendang	scarf	
2830	saputangan	saputangan	handkerchief	
2831	nurok, banging	manik-manik	beads	
2832	lamping	popok, lampin	diaper	
2833	sira'	baju	dress, clothing	
2834	baju dalam	baju dalam	underwear	
2835	sitokin	sarung kaki, stokin	stockings, socks	
2836	ogot longon	ban lengan	armband	longon
2837	sarung tangan	sarung tangan	gloves	tangan
2838	sira' modop	pijama	pajamas	modop
2839	nitai	tali leher, dasi, nektai	necktie	
2840	baju kot, sira kot	baju kot, jas	coat, jacket	
2841	payung	payung	umbrella	
2842	binaloi-baloi	bangunan, gedung	building	baloi
2843	baloi	rumah	house	
2844	sulap	pondok	hut, cottage	
2845	bolumbung	gubuk	shed	
2846	angkob	lumbung	rice barn	
2847	gudang	gudang	storehouse	
2848	siling	siling	ceiling	
2849	taap	atap	roof	
2850	taap sakot	atap lalang	thatch roof	
2851	kasau	kasau	rafter	
2852	genteng	genting	tile	
2853	taap genting	atap genting	tiled roof	
2854	pisuk	sudut	corner	
2855	dinding	dinding	wall	
2856	susuonon	pintu	door	
2857	kunsi'	kunci	key	
2858	kunsi' gantung	ibu kunci	lock	
2859	jandila'	jendela	window	
2860	jandila' saramin	kaca jendela	window pane	
2861	sulig	lantai	floor	
2862	tindusan	bumbung	roof (ridge)	
2863	rigi	tiang, tonggak	post	
2864	tukad	tangga	ladder, stairs	
2865	pagar	pagar	fence	
2866	bilik	bilik	room	
2867	lamin, bilik adapan	bilik tidur	bedroom	
2868	dapuan	dapur	kitchen	
2869	jamban	jamban, tandas	toilet	
2870	bilik pimpajuan	bilik mandi	bathroom	paju
2871	bilik akanan	bilik makan	dining room	akan
2872	lintuun	bilik tamu	living room	
2873	pantatauan do barang makanan	sepen	pantry	tau'
2874	natad	halaman, pekarangan	yard	
2875	simin	simen	cement	
2876	bata	batu bata	brick	
2877	dinding batu, tembok	tembok	masonry wall	
2878	andibung	nibung	black palm (flooring)	
2879	pantaran, kaki lima	beranda, kaki lima	veranda, porch	
2880	torobong	perigi, telaga, sumur	well	
2881	pansuran	talang	gutter	
2882	mija'	meja	table	
2883	mija' akanan	meja makan	dining table	
2884	kurisi'	kerusi	chair	
2885	bangku	bangku	bench	
2886	pangku	dipan	sofa / couch	
2887	adadapan	tempat tidur	bed	odop
2888	indangan	tempat tidur bayi	crib / hammock cradle	
2889	bantal	bantal	pillow	
2890	tilam	tilam	mattress	
2891	bantal paluk	bantal peluk	bolster / "Dutch wife"	
2892	lamari' konoon	almari pakaian	clothes closet	
2893	sasalaan	rak	shelf	
2894	kikiop	kipas angin	fan	kiop
2895	tuung pimpajuan	bak mandi	bathtub	paju
2896	kosusukupan baloi	perabot	furniture	sukup
2897	palita', lampung	lampu	lamp	
2898	taming palita'	kap lampu	lampshade	
2899	lampit	permadani	carpet / rug	
2900	mija' panulisan	meja tulis	desk	tulis
2901	lamari' buuk	lemari buku	bookcase	
2902	pansuran timug	kepala paip, kran	water faucet	
2903	palita' mija	lampu meja	table lamp	
2904	baab lampung	bal lampu	lightbulb	
2905	tabir jandila'	tirai jendela	window curtain	
2906	tabir	tabir	curtain / partition	
2907	gambar	gambar	picture / frame	
2908	pombobougan	bak cuci piring	kitchen sink	boug
2909	gayung	gayung	dipper	
2910	lasi'	laci	drawer	
2911	saramin	cermin	mirror	
2912	kaban poposarui	peti ais	refrigerator	kaban, sarui
2913	injin ponombir	mesin jahit	sewing machine	tambir
2914	jaam dinding	jam	clock	
2915	sitoob	dapur (alat), relung	stove	
2916	susuangan do polupuk	asbak	ashtray	suang, polupuk
2917	susuangan do sasaap	keranjang sampah	wastepaper basket	suang, sasaap
2918	timba	baldi, timba	bucket	
2919	kakapu	sapu	broom	kapu
2920	moguntob	berhitung	to count	untob
2921	saparu, mointanga'	setengah	half	intanga'
2922	koiso, kusung	kosong	zero, empty, none, nil, null	
2923	iso	satu	one	
2924	duo	dua	two	
2925	talu	tiga	three	
2926	apat	empat	four	
2927	limo	lima	five	
2928	onom	enam	six	
2929	turu	tujuh	seven	
2930	balu'	lapan	eight	
2931	siam	sembilan	nine	
2932	opod	sepuluh	ten	
2933	opod om miso, sabalas	sebelas	eleven	
2934	opod om duo, duabalas	dua belas	twelve	
2935	duo ngopod	dua puluh	twenty	
2936	duo ngopod om iso	dua puluh satu	twenty-one	
2937	saratus	seratus	one hundred	ratus
2938	saribu	seribu	one thousand	ribu
2939	opod ngoribu	sepuluh ribu	ten thousand	ribu
2940	mogumu'	banyak	many, much	gumu'
2941	mogumu' banar	sangat banyak	very much / many	gumu'
2942	kokuri'	sedikit	a little	kuri'
2943	sosongkuo	beberapa	few	songkuo
2944	songkuo gumu'	berapa (banyak)	how many	songkuo
2945	rata-rata'	rata-rata	on an average	rata'
2946	kira-kira'	kira-kira	approximately	kira'
2947	sukup-sukup	sedang	average, moderate	sukup
2948	labi	kelebihan	surplus	
2949	kurang	kekurangan	deficit	
2950	koiso (ko'iso?)	pertama	first	iso
2951	koduo	kedua	second	duo
2952	kotalu	ketiga	third	talu
2953	kaapat	keempat	fourth	apat
2954	kolimo	kelima	fifth	limo
2955	koonom	keenam	sixth	onom
2956	koturu	ketujuh	seventh	turu
2957	kobalu	kelapan	eighth	balu
2958	kosiam	kesembilan	ninth	siam
2959	koopod	kesepuluh	tenth	opod
2960	koduo ngopod om iso	kedua puluh satu	twenty-first	opod, iso
2961	moguntob, mongira-ngira'	menghitung	to count, calculate	untob, kira'
2962	momoruang	menjumlahkan	to add	ruang
2963	mongingkurang	mengurangi	to subtract	kurang
2964	momaagi	membahagi	to divide	baagi
2965	mopokali-kali'	mengalikan	to multiply	kali'
2966	poguot	soal	problem (math)	uot
2967	numbur	angka, nombor	number	
2968	topod	sisa	remainder	
2969	jumla	jumlah	total	
2970	numbur mati	bilangan genap	even number	
2971	numbur hidup	bilangan ganjil	odd number	
2972	popoiad	memperbandingkan	to compare	iad
2973	babakan	pecahan	fraction	babak
2974	sosuku'	seperempat	one-fourth	suku
2975	satanga', saparu	separuh, setengah	one-half	tanga', paru
2976	monyukat	mengukur	to measure	sukat
2977	sukatan	ukuran	measurement	sukat
2978	sarangau	jengkal	handspan	rangau
2979	sonsudu'	sesenduk	spoonful	sudu'
2980	soropo	depa	armspan	ropo
2981	meter	meter	meter	
2982	kilometer	kilometer	kilometer	
2983	batu	batu	mile	
2984	songonggom	segenggam	handful	gonggom
2985	supak	liter	liter (traditional unit)	
2986	paun	paun	pound	
2987	kilogram	kilogram	kilogram	
2988	hasta	hasta	cubit (elbow to fingertip)	
2989	kaki	kaki	foot (measurement)	
2990	magayo	besar	big	gayo
2991	monini	kecil	small	nini
2992	moluas	lebar	wide	luas
2993	kikoluasan	luas	spacious / area	luas
2994	masampit	sempit	narrow	sampit
2995	madalom	dalam	deep	dalom
2996	maribau	dangkal	shallow	ribau
2997	modibo'	pendek	short	dibo'
2998	magawad	panjang	long	gawad
2999	majangkou	tinggi	tall	jangkou
3000	monipis	tipis, nipis	thin (object)	nipis
3001	makapal	tebal	thick	kapal
3002	motukal	kurus	thin (person)	tukal
3003	molombon	gemuk	fat (person)	lombon
3004	molingkis	langsing, ramping	slim	lingkis
3005	maagat	berat	heavy	agat
3006	magaan	ringan	light	gaan
3007	timbangan	timbangan	scales	timbang
3008	magalud	jauh	far	galud
3009	magaad	dekat	near	gaad
3010	mosikap	cepat	fast	sikap
3011	molidut	lambat	slow	lidut
3012	malasu'	panas	hot	lasu'
3013	masarui	sejuk, dingin	cold	sarui
3014	pogilayan do linasu'	termometer	thermometer	ilai', lasu'
3015	daraja'	darjah	degree	
3016	moijau	laju	fast (speed)	ijau
3017	mougui	lambat	slow (speed)	ugui
3018	motulid	lurus	straight	tulid
3019	liku	lengkung	curve	
3020	kiliku	melengkung	curved	liku
3021	nokilong, nolingkuk	bengkok	crooked, bent	kilong, lingkuk
3022	likouan	bulatan	circle	likou
3023	poimbulat, poimbulugu'	bulat	round	bulat, bulugu'
3024	poimpasagi'	segi empat sama	square	pasagi'
3025	poimpasagi' apat	segi empat tepat	rectangle	pasagi'
3026	jurung, sagi' talu	segi tiga	triangle	jurung, sagi
3027	mamantai	selari	parallel	pantai
3028	poimbujur	bujur	oval	bujur
3029	pointiduku	kon	cone	tiduku
3030	kurudot	berbentuk kon	conical	kurudot
3031	poilikou	bergelung	coiled	likou
3032	buul, guul	bola	ball / sphere	
3033	molundu', mobolugu'	berbentuk bola	spherical	lundu', bulugu'
3034	poiluok	cekung	concave	luok
3035	poimburud	cembung	convex	burud
3036	pialatan	di antara	among, between	olot
3037	do ribau	di atas	on, above	ribau
3038	do liputan	di keliling	around	liput
3039	do doriwo	di bawah	below	doriwo
3040	do sokitar	di sekitar	in the vicinity of	sokitar
3041	do motiguangan	di hadapan, di depan	in front	guang
3042	do lalom	di dalam	inside	lalom
3043	do solura'	di luar	outside	solura'
3044	do gaad	di dekat	near	gaad
3045	do molikudan	di belakang	behind	likud
3046	do sampaping	di sebelah, di samping	beside	sampaping
3047	do lambus	di balik sana	beyond	lambus
3048	do tanga-tanga'	di tengah	in the middle	tanga'
3049	do soborong	di seberang	across	soborong
3050	poinggawad	sepanjang	along	gawad
3051	mitupak	berhadapan dengan	opposite	tupak
3052	ponong do idis / moidisan	sebelah kanan	right side	idis
3053	ponong do ibang / moibangan	sebelah kiri	left side	ibang
3054	situ'	di sini	here	
3055	sino	di situ	there (near)	
3056	sinu	di sana	there (far)	
3057	ombo ianan	di mana	where	
3058	warana'	warna	color	
3059	mopurak	putih	white	purak
3060	moitom	hitam	black	itom
3061	maria'	merah	red	ria'
3062	motuo ria'	merah tua	dark red	tuo, ria'
3063	momulok ria'	merah muda	pink	mulok, ria'
3064	mosilou	kuning	yellow	silou
3065	silou tuo	jingga, kuning tua	orange, dark yellow	silou, tuo
3066	ungui	ungu	purple	
3067	motomou	hijau	green	tomou
3068	kulabu'	kelabu, abu-abu	gray	
3069	sokulat	coklat	brown	
3070	poingitom tomou	biru	blue	itom, tomou
3071	moitom	warna tua	dark color	itom
3072	moitom-itom	warna muda	light color	itom
3073	balang-balang	kotak-kotak	checkered	balang
3074	kitaris, bataris-taris	bergaris-garis	striped (horizontally)	taris
3075	songimbaris	berbaris-baris	striped (vertically)	baris
3076	botundok-tundok	berbintik-bintik	spotted, blotched	tundok
3077	mapasi'	pucat	pale	pasi'
3078	malamog	licin	smooth, slippery	lamog
3079	makasar	kasar	rough	kasar
3080	motuyu'	bersih	clean	tuyu'
3081	majabut	kotor	dirty	jabut
3082	marata'	rata	flat	rata'
3083	bakatud-katud	tidak rata	bumpy	katud
3084	maalus	halus	smooth (fine texture)	alus
3085	maladom	tajam	sharp	ladom
3086	mangalor	tumpul	blunt	ngalor
3087	kiabuk, kibulu	berbulu	hairy	abuk, bulu
3088	malamog, molosok	berlumpur, berlendir	slimy, muddy	lamog, losok
3089	baalur	beralur	grooved	alur
3090	maasa'	basah	wet	asa'
3091	makala'	kering	dry	kala'
3092	mokodou	keras	hard	kodou
3093	malami'	lembut, lunak	soft	lami'
3094	moilou, mopuang	berkilat-kilat	shiny	ilou, puang
3095	makabur	tidak mengkilap, kabur	dull, blurry	kabur
3096	morokot	lengket, lekat	sticky	rokot
3097	kidudui'	berduri	prickly, thorny	dui'
3098	nalayu	layu	withered	layu
3099	nokurupong	berkerut	wrinkled	kurupong
3100	nongkuradut	kisut	shriveled (old people)	kuradut
3101	nokolos	susut, kecut	shrunk	kolos
3102	nolonot	pudar	faded	lonot
3103	poimbuka', poingukab	terbuka	open	buka', ukab
3104	pointatap	tegang	taut, tense	tatap
3105	poingotos	tenang	calm	otos
3106	maluag	kendur	slack, loose	luag
3107	poingaku'	kaku	stiff	kaku'
3108	maruoi mababak	mudah pecah	fragile	ruoi, babak
3109	matapu	mudah koyak / robek	easily torn	tapu
3110	mataan	kokoh, teguh	firm	taan
3111	nokasangit, nokosokot	tertancap, tersangkut	stuck, caught	sangit, sokot
3112	maluag, malunggar	longgar	loose	luag, lunggar
3113	masampit	sempit	tight	sampit
3114	mouyog	goyah	wobbly	uyog
3115	mounggar	goyang	unsteady (shake)	unggar
3116	mokodou	padat	solid, dense	kodou
3117	makapal	tebal	thick	kapal
3118	muyog-muyog, maya-waya'	bergoyang-goyang	unsteady (sway)	uyog, waya'
3119	ramuk	utuh	intact	
3120	nabinasa', naputul	rosak	damaged, broken	binasa', putul
3121	piok	penyok	dented	
3122	nababak	pecah	broken (glass/ceramic)	babak
3123	naputul	patah	broken (long objects)	putul
3124	nopopor	reyot	falling to pieces	popor
3125	binubukon	dimakan anai-anai	termite-eaten	bubuk
3126	natutuban panggor	tertutup rapat	well-covered	tutub, panggor
3127	naabu	gembung	swollen	abu
3128	nobuntung	busuk	rotten, putrid	buntung
3129	nounos	basi	stale	unos
3130	kinulaton	berjamur	mouldy	kulat
3131	tinogoron	berkarat	rusty, corroded	togor
3132	koiso suang	kosong	empty	suang
3133	napanu'	penuh	full	panu'
3134	noinsok	penuh sesak	jam-packed	insok
3135	mogumu' ulun	ramai	full (of people)	gumu', ulun
3136	pogoulon	campur	mixed together	goul, gaul
3137	malasu', linasu'	panas	hot, heat	lasu'
3138	malasu-lasu'	hangat	warm	lasu'
3139	pomuradawan	suam, hangat-hangat kuku	lukewarm	
3140	mosimu'	sejuk	cool, fresh, chilly	simu'
3141	masarui	dingin	cold	sarui
3142	simuon, sisimuon	demam	fever, feverish	simu'
3143	daraja	darjah	degree	
3144	molok-golok	mendidih	boiling	golok
3145	linasu'	suhu	temperature	lasu'
3146	kumodou, mimang baku	membeku	to freeze	kodou, baku
3147	sukup-sukup	sedang	temperate	sukup
3148	musim mogodou	musim panas	summer (dry season)	odou
3149	musim mosimu'	musim sejuk/dingin	winter (cool season)	simu'
3150	mato odou	matahari	sun	mato, odou
3151	sukatan do linasu'	termometer	thermometer	sukat, lasu'
3152	lasu', kotuongon	hawa, cuaca	climate / weather	
3153	mamadadang, popolasu'	memanaskan	to heat	dadang, lasu'
3154	poposarui	mendinginkan	to cool	sarui
3155	moijau	cepat, laju	fast	ijau
3156	mougui	lambat, perlahan	slow	ugui
3157	palaan-palaan	perlahan-lahan	slowly	
3158	magab-agab	buru-buru	in a hurry	agab
3159	mawal	awal, lekas	early, quick	awal
3160	awal-awal	pagi-pagi	early (in the morning)	awal
3161	mangagab	mempercepat	to speed up	agab
3162	molimoyot	lambat (orang)	sluggish (person)	limoyot
3163	mougui (taluuk)	seret, macet	sluggish (traffic)	ugui
3164	nokotoron	macet, tersumbat	plugged, stopped up	toron
3165	maa-laa'	ragu-ragu	hesitant	laa'
3166	nokotouri	terlambat, lewat	late	touri
3167	basapad-sapad	berangsur-angsur	gradually	sapad
3168	monungkamang	merangkak	to crawl	tungkamang
3169	popougui	memperlambat	to slow down	ugui
3170	sumimbul	berlari	to run	simbul
3171	miad dino no, tarus o	segera	immediately	iad, tarus
3172	mobuoi	lama	long (time)	buoi
3173	ekspres, maagab	ekspres	fast / express	agab
3174	malansar	lancar	fluent / smooth	lansar
3175	gia' kumaraja'	kata kerja	verb	
3176	ngaran	kata benda	noun	
3177	ganti ngaran	kata ganti	pronoun	
3178	gia' poimpogulu'	kata depan	preposition	
3179	gia' kapamaraan	kata keterangan	adverb	
3180	gia' kisambung	kata sambung	conjunction	
3181	gia' ajap	kata seru	interjection	
3182	gia' kuo	kata sifat	adjective	
3183	gia' uot	kata tanya	interrogative	
3184	pomogian	suku kata	syllable	
3185	urup	huruf	letter	
3186	boros	kata	word	
3187	puun gia'	kata dasar	root word	
3188	gia' jadi	kata jadian	derivative	
3189	sosorita'	ayat, kalimat	sentence	sorita'
3190	grammar	tatabahasa	grammar	
3191	susunan nu gia'	susunan kata-kata	phrase	susun
3192	gia' modibo	anak kalimat	clause	
3193	pongusapan	ungkapan	expression	
3194	tantu', mimang	memang	of course, certainly	
3195	tantu'	tentu, pasti	certainly	
3196	banar	sungguh	truly	
3197	kaa	tidak	not	
3198	banar no	sebenarnya	actually	
